claim id,lambda,doc id_1,doc id_2,doc id_3,doc id_4,doc id_5
75397,0.1,New_Amsterdam_(TV_series),Ved_verdens_ende,Nikolaj_Coster-Waldau,A_Thousand_Times_Good_Night,A_Second_Chance_(2014_film)
75397,0.2,New_Amsterdam_(TV_series),Nikolaj_Coster-Waldau,The_Other_Woman_(2014_film),Ved_verdens_ende,A_Second_Chance_(2014_film)
75397,0.3,New_Amsterdam_(TV_series),Nikolaj_Coster-Waldau,The_Other_Woman_(2014_film),Ved_verdens_ende,Nukaaka_Coster-Waldau
75397,0.4,New_Amsterdam_(TV_series),The_Other_Woman_(2014_film),Nikolaj_Coster-Waldau,Ved_verdens_ende,Nukaaka_Coster-Waldau
75397,0.5,New_Amsterdam_(TV_series),The_Other_Woman_(2014_film),Nikolaj_Coster-Waldau,Nukaaka_Coster-Waldau,Ved_verdens_ende
75397,0.6,New_Amsterdam_(TV_series),The_Other_Woman_(2014_film),Nikolaj_Coster-Waldau,Nukaaka_Coster-Waldau,Ved_verdens_ende
75397,0.7,New_Amsterdam_(TV_series),The_Other_Woman_(2014_film),Nikolaj_Coster-Waldau,Nukaaka_Coster-Waldau,Gods_of_Egypt_(film)
150448,0.1,Brett_Atwood,Joel_Spolsky,Only_Much_Louder,Quetzal_(disambiguation),Bedside_Press
150448,0.2,Only_Much_Louder,Joel_Spolsky,Brett_Atwood,Quetzal_(disambiguation),Bedside_Press
150448,0.3,Only_Much_Louder,Joel_Spolsky,Brett_Atwood,Tosyn_Bucknor,Quetzal_(disambiguation)
150448,0.4,Only_Much_Louder,Joel_Spolsky,Tosyn_Bucknor,Brett_Atwood,Quetzal_(disambiguation)
150448,0.5,Only_Much_Louder,Joel_Spolsky,Tosyn_Bucknor,Brett_Atwood,Stacey_Roy
150448,0.6,Only_Much_Louder,Tosyn_Bucknor,Joel_Spolsky,Stacey_Roy,Brett_Atwood
150448,0.7,Only_Much_Louder,Tosyn_Bucknor,Joel_Spolsky,Stacey_Roy,Video_copy_detection
214861,0.1,History_of_art,World_Festival_of_Black_Arts,National_Academy_of_Visual_Arts_and_Architecture,Mperience,The_arts
214861,0.2,History_of_art,World_Festival_of_Black_Arts,The_arts,CUAAD,Sky_Arts_(New_Zealand)
214861,0.3,History_of_art,The_arts,World_Festival_of_Black_Arts,CUAAD,Fine_art
214861,0.4,History_of_art,The_arts,Fine_art,CUAAD,Sky_Arts_(New_Zealand)
